,Y,M_X,M_Z
beta,-0.385,-0.044,0.016
beta dot,0.0,0.0,0.0
roll dot,-0.036,-0.493,-0.108
yaw dot,0.037,0.062,-0.004
ailerons,0.0,0.228,0.059
rudder,0.0,0.0,0.0
