,Y,M_X,M_Z
beta,-0.288,-0.039,0.01
beta dot,0.0,0.0,0.0
roll dot,-0.027,-0.493,-0.108
yaw dot,0.025,0.061,-0.003
ailerons,0.0,0.0,0.0
rudder,0.0,0.0,0.0
