,X,Z,M_Y
0,0.0,-0.666,0.0
X dot,-0.021,-0.606,-0.133
alpha,1.163,-4.931,-1.089
alpha dot,0.0,0.0,0.0
pitch dot,0.247,-1.102,-0.244
elevator,0.279,-0.7,-0.441
